Discipline,Female,Male,Total
3x3 Basketball,32,32,64
Archery,64,64,128
Artistic Gymnastics,98,98,196
Artistic Swimming,105,0,105
Athletics,969,1072,2041
Badminton,86,87,173
Baseball/Softball,90,144,234
Basketball,144,144,288
Beach Volleyball,48,48,96
Boxing,102,187,289
Canoe Slalom,41,41,82
Canoe Sprint,123,126,249
Cycling BMX Freestyle,10,9,19
Cycling BMX Racing,24,24,48
Cycling Mountain Bike,38,38,76
Cycling Road,70,131,201
Cycling Track,90,99,189
Diving,72,71,143
Equestrian,73,125,198
